,Time,open,close,low,high,Vol.trades,Nr.trades,Average,
MSFT,930,27.15,27.17,27.13,27.17,754229,764,27.1438,5
MSFT,931,27.17,27.19,27.13,27.18,328597,471,27.165,2
MSFT,932,27.18,27.21,27.13,27.19,343711,390,27.1916,3
MSFT,933,27.19,27.2,27.18,27.18,231715,339,27.1957,2
MSFT,934,27.19,27.19,27.16,27.17,151506,269,27.1733,0
MSFT,935,27.17,27.18,27.16,27.17,169217,195,27.1707,2
MSFT,936,27.17,27.18,27.16,27.17,223728,261,27.1699,2
MSFT,937,27.17,27.18,27.17,27.18,64639,152,27.1758,0
MSFT,938,27.17,27.19,27.17,27.19,109948,212,27.1795,0
MSFT,939,27.18,27.22,27.18,27.21,338107,410,27.1999,3
MSFT,940,27.21,27.22,27.19,27.21,194309,314,27.2097,1
MSFT,941,27.21,27.21,27.19,27.2,142614,262,27.1988,0
MSFT,942,27.2,27.21,27.19,27.2,187229,288,27.2005,1
MSFT,943,27.2,27.21,27.19,27.21,50235,110,27.1984,0
MSFT,944,27.2,27.22,27.2,27.21,86513,146,27.2094,1
MSFT,945,27.22,27.22,27.21,27.22,157111,257,27.2175,0
MSFT,946,27.22,27.22,27.21,27.22,98067,177,27.2185,0
MSFT,947,27.22,27.23,27.21,27.22,129993,270,27.2227,0
MSFT,948,27.21,27.22,27.21,27.22,160969,233,27.2169,0
MSFT,949,27.22,27.22,27.21,27.21,24634,49,27.2163,0
MSFT,950,27.21,27.22,27.18,27.19,153645,286,27.2012,0
MSFT,951,27.19,27.2,27.19,27.2,70113,140,27.1943,0
MSFT,952,27.19,27.2,27.19,27.2,36770,72,27.1976,0
MSFT,953,27.2,27.2,27.16,27.16,317479,473,27.183,0
MSFT,954,27.16,27.22,27.16,27.17,214521,351,27.1837,0
MSFT,955,27.17,27.19,27.16,27.18,149118,201,27.1777,1
MSFT,956,27.19,27.21,27.17,27.2,159660,200,27.1945,1
MSFT,957,27.2,27.21,27.2,27.21,135290,194,27.2066,1
MSFT,958,27.21,27.24,27.2,27.23,155938,317,27.2193,0
MSFT,959,27.23,27.25,27.21,27.22,315308,392,27.229,1
MSFT,1000,27.23,27.23,27.21,27.22,279934,413,27.2211,0
MSFT,1001,27.22,27.23,27.21,27.23,143758,175,27.225,1
MSFT,1002,27.23,27.25,27.22,27.23,312591,314,27.2375,3
MSFT,1003,27.23,27.25,27.23,27.23,100273,163,27.2365,0
MSFT,1004,27.23,27.24,27.22,27.22,243093,394,27.2274,0
MSFT,1005,27.22,27.24,27.21,27.24,163310,235,27.2297,1
MSFT,1006,27.23,27.26,27.23,27.25,487312,584,27.2484,4
MSFT,1007,27.25,27.28,27.24,27.28,288109,352,27.2644,1
MSFT,1008,27.28,27.29,27.27,27.27,273496,363,27.2794,1
MSFT,1009,27.28,27.28,27.26,27.26,270498,157,27.2688,7
MSFT,1010,27.26,27.27,27.25,27.25,352994,346,27.2553,4
MSFT,1011,27.26,27.28,27.25,27.26,154441,255,27.2658,0
MSFT,1012,27.27,27.28,27.26,27.28,379459,470,27.2769,1
MSFT,1013,27.28,27.29,27.27,27.28,183901,227,27.2808,1
MSFT,1014,27.28,27.29,27.27,27.28,217383,278,27.2795,2
MSFT,1015,27.27,27.29,27.26,27.28,312638,276,27.2786,5
MSFT,1016,27.29,27.3,27.28,27.29,171678,228,27.2877,1
MSFT,1017,27.29,27.3,27.29,27.29,85759,90,27.2967,1
MSFT,1018,27.3,27.32,27.29,27.32,725733,852,27.3102,5
MSFT,1019,27.32,27.32,27.31,27.31,73753,146,27.3163,0
MSFT,1020,27.32,27.32,27.31,27.31,49611,86,27.3155,1
MSFT,1021,27.32,27.32,27.3,27.3,137951,195,27.3094,0
MSFT,1022,27.31,27.31,27.29,27.29,187796,212,27.3,2
MSFT,1023,27.29,27.3,27.28,27.28,102614,221,27.2847,0
MSFT,1024,27.28,27.29,27.28,27.29,48441,88,27.2836,0
MSFT,1025,27.29,27.29,27.27,27.27,48291,95,27.2784,0
MSFT,1026,27.27,27.28,27.27,27.27,20785,44,27.2756,0
MSFT,1027,27.27,27.28,27.27,27.28,246653,275,27.2711,2
MSFT,1028,27.27,27.28,27.27,27.28,101004,133,27.2794,1
MSFT,1029,27.28,27.28,27.27,27.28,155260,243,27.2747,1
MSFT,1030,27.28,27.3,27.27,27.3,361740,498,27.2848,2
MSFT,1031,27.3,27.31,27.3,27.31,56347,64,27.3008,1
MSFT,1032,27.3,27.31,27.3,27.3,26838,48,27.3031,0
MSFT,1033,27.3,27.31,27.3,27.31,65981,123,27.3048,0
MSFT,1034,27.3,27.31,27.29,27.31,122612,211,27.3021,0
MSFT,1035,27.31,27.31,27.29,27.3,95140,153,27.2994,0
MSFT,1036,27.29,27.31,27.29,27.3,76442,120,27.2999,0
MSFT,1037,27.3,27.31,27.29,27.3,100907,124,27.302,0
MSFT,1038,27.31,27.31,27.3,27.3,175272,190,27.3087,1
MSFT,1039,27.3,27.34,27.3,27.33,333401,339,27.318,4
MSFT,1040,27.34,27.35,27.32,27.33,190523,284,27.3349,0
MSFT,1041,27.32,27.34,27.32,27.34,130270,175,27.3299,1
MSFT,1042,27.34,27.34,27.33,27.34,129581,213,27.3383,0
MSFT,1043,27.34,27.34,27.33,27.34,134900,202,27.338,0
MSFT,1044,27.33,27.34,27.33,27.34,164863,141,27.339,2
MSFT,1045,27.34,27.34,27.33,27.34,146219,269,27.3372,1
MSFT,1046,27.34,27.34,27.33,27.33,221194,287,27.3322,1
MSFT,1047,27.33,27.34,27.33,27.33,94130,105,27.3322,1
MSFT,1048,27.33,27.35,27.33,27.34,262875,273,27.3375,1
MSFT,1049,27.34,27.34,27.33,27.33,144955,201,27.3375,3
MSFT,1050,27.33,27.34,27.33,27.33,48732,93,27.3314,0
MSFT,1051,27.33,27.34,27.33,27.34,98128,115,27.3303,1
MSFT,1052,27.33,27.34,27.33,27.33,108980,105,27.3337,2
MSFT,1053,27.34,27.34,27.33,27.34,28160,51,27.3318,0
MSFT,1054,27.33,27.34,27.33,27.33,36102,75,27.332,0
MSFT,1055,27.33,27.34,27.33,27.33,32484,67,27.336,0
MSFT,1056,27.33,27.34,27.33,27.34,14330,33,27.3342,0
MSFT,1057,27.33,27.34,27.33,27.33,151799,160,27.3305,3
MSFT,1058,27.34,27.34,27.32,27.34,58446,107,27.334,0
MSFT,1059,27.34,27.34,27.33,27.34,53326,88,27.338,0
MSFT,1100,27.34,27.35,27.33,27.34,105913,189,27.3408,0
MSFT,1101,27.34,27.36,27.34,27.36,233044,319,27.3518,1
MSFT,1102,27.37,27.37,27.35,27.36,103877,129,27.3592,1
MSFT,1103,27.35,27.36,27.35,27.36,32074,72,27.3556,0
MSFT,1104,27.35,27.36,27.34,27.34,63406,140,27.346,0
MSFT,1105,27.34,27.35,27.33,27.33,160405,257,27.3332,0
MSFT,1106,27.33,27.34,27.32,27.33,87664,141,27.3313,1
MSFT,1107,27.33,27.34,27.33,27.33,315612,370,27.3301,3
